Categoría: Todas las categorías — DATOS SINTÉTICOS DE EJEMPLO (no son de Google Trends)

Mes,Python: (Todo el mundo),JavaScript: (Todo el mundo),R: (Todo el mundo),C++: (Todo el mundo),PHP: (Todo el mundo),Java: (Todo el mundo)
2008-12,10,7,2,7,2,5
2009-01,14,10,2,7,6,5
2009-02,12,9,5,6,6,5
2009-03,14,9,5,5,6,6
2009-04,10,11,5,5,5,6
2009-05,12,11,5,7,5,6
2009-06,11,14,4,5,6,6
2009-07,14,14,1,4,2,6
2009-08,14,11,2,4,5,9
2009-09,16,11,4,5,6,7
2009-10,15,12,4,6,5,7
2009-11,17,15,4,7,6,9
2009-12,16,14,4,6,5,7
2010-01,15,12,4,5,6,11
2010-02,17,14,6,6,5,10
2010-03,17,14,5,9,4,9
2010-04,17,16,5,5,5,12
2010-05,20,15,5,9,4,7
2010-06,19,15,5,6,5,12
2010-07,16,15,2,7,6,12
2010-08,20,14,4,7,6,11
2010-09,22,19,2,6,7,9
2010-10,22,15,5,6,4,10
2010-11,22,17,4,6,5,10
2010-12,20,17,4,10,4,11
2011-01,21,16,4,6,7,11
2011-02,20,17,5,10,7,10
2011-03,23,16,5,6,7,10
2011-04,23,20,6,6,6,10
2011-05,23,21,5,10,7,11
2011-06,22,19,6,9,6,12
2011-07,22,17,4,6,7,12
2011-08,25,20,2,11,7,10
2011-09,23,21,4,11,7,14
2011-10,27,21,5,7,6,15
2011-11,25,21,4,11,5,14
2011-12,25,19,2,7,6,14
2012-01,23,19,6,12,6,14
2012-02,27,20,5,11,9,15
2012-03,27,21,7,10,6,15
2012-04,27,20,5,12,6,12
2012-05,26,25,4,11,5,15
2012-06,30,21,4,11,7,15
2012-07,28,21,6,10,7,15
2012-08,27,26,5,12,7,15
2012-09,28,22,6,10,7,14
2012-10,30,25,6,11,7,16
2012-11,31,23,6,10,5,14
2012-12,33,26,7,10,9,17
2013-01,31,23,4,14,10,17
2013-02,31,26,7,11,6,19
2013-03,32,27,6,9,7,14
2013-04,31,28,6,12,6,17
2013-05,33,27,6,14,7,17
2013-06,33,27,6,10,5,15
2013-07,31,27,5,14,6,16
2013-08,36,25,5,12,9,16
2013-09,32,27,5,14,6,20
2013-10,32,28,5,12,7,20
2013-11,33,30,4,14,10,17
2013-12,37,27,5,15,11,20
2014-01,35,31,5,15,7,17
2014-02,35,30,9,12,6,20
2014-03,38,31,4,12,10,20
2014-04,40,31,7,14,7,16
2014-05,38,30,9,11,10,20
2014-06,40,31,6,14,6,19
2014-07,38,28,6,14,9,21
2014-08,38,31,6,15,9,22
2014-09,37,30,6,14,10,19
2014-10,38,32,5,15,6,21
2014-11,38,32,9,16,11,17
2014-12,41,33,9,14,10,20
2015-01,42,32,9,12,10,19
2015-02,42,35,7,16,7,19
2015-03,43,32,5,15,11,19
2015-04,42,32,5,12,7,20
2015-05,42,33,7,16,11,20
2015-06,43,36,6,15,11,22
2015-07,44,33,10,16,9,21
2015-08,41,35,9,16,7,21
2015-09,42,33,6,14,10,23
2015-10,46,36,6,17,7,20
2015-11,43,37,9,15,9,23
2015-12,46,37,7,14,7,21
2016-01,46,37,7,14,12,22
2016-02,46,35,6,15,10,25
2016-03,46,36,6,14,7,25
2016-04,49,35,5,16,9,22
2016-05,49,36,6,19,10,25
2016-06,48,35,10,14,9,23
2016-07,49,40,5,15,7,22
2016-08,51,36,7,15,7,23
2016-09,48,38,10,17,10,23
2016-10,48,38,7,19,9,22
2016-11,48,38,6,16,12,26
2016-12,51,41,10,15,11,23
2017-01,51,40,7,15,9,26
2017-02,53,42,6,17,9,25
2017-03,52,38,6,17,9,27
2017-04,54,38,10,19,9,26
2017-05,52,40,10,17,12,28
2017-06,56,42,10,16,10,26
2017-07,53,41,10,19,12,26
2017-08,56,41,11,19,10,27
2017-09,52,43,9,20,9,26
2017-10,54,40,10,20,11,28
2017-11,57,42,9,20,12,26
2017-12,56,44,10,16,10,28
2018-01,57,44,9,19,14,26
2018-02,54,41,6,20,12,26
2018-03,58,42,9,20,12,27
2018-04,58,44,10,21,11,28
2018-05,59,42,6,17,10,28
2018-06,58,46,6,21,10,31
2018-07,57,47,10,17,11,27
2018-08,60,44,9,17,9,28
2018-09,59,44,11,19,14,30
2018-10,62,46,11,20,12,28
2018-11,59,46,9,22,10,31
2018-12,62,44,9,21,12,30
2019-01,60,46,11,21,11,28
2019-02,62,49,10,19,11,30
2019-03,63,48,7,17,12,28
2019-04,64,46,12,22,11,27
2019-05,64,46,7,20,10,28
2019-06,63,49,11,19,10,30
2019-07,64,47,10,19,14,32
2019-08,65,48,7,22,12,30
2019-09,63,51,11,21,11,30
2019-10,62,52,12,19,12,33
2019-11,65,52,7,22,14,30
2019-12,63,53,9,22,15,32
2020-01,67,49,11,20,12,32
2020-02,67,48,7,21,11,33
2020-03,65,52,10,23,15,35
2020-04,64,52,11,23,14,32
2020-05,65,49,7,21,14,32
2020-06,68,51,12,25,12,32
2020-07,65,52,9,23,12,33
2020-08,65,54,11,21,15,35
2020-09,70,54,10,23,15,32
2020-10,72,54,11,23,11,35
2020-11,69,54,11,22,15,36
2020-12,73,52,12,25,14,35
2021-01,69,54,9,25,15,33
2021-02,72,57,9,23,15,35
2021-03,74,54,11,25,12,36
2021-04,72,53,9,22,16,37
2021-05,74,57,11,25,14,37
2021-06,72,56,12,25,15,33
2021-07,74,56,10,22,11,33
2021-08,74,58,9,26,14,37
2021-09,72,54,12,22,11,36
2021-10,72,57,12,22,16,37
2021-11,77,58,12,22,15,37
2021-12,77,56,12,23,14,37
2022-01,77,57,12,27,16,33
2022-02,73,59,9,22,16,35
2022-03,75,58,14,27,16,36
2022-04,74,62,10,26,16,37
2022-05,79,62,11,26,12,37
2022-06,78,58,11,26,12,40
2022-07,77,58,12,23,16,37
2022-08,77,60,11,26,12,35
2022-09,78,60,10,23,16,36
2022-10,78,63,14,27,12,40
2022-11,78,63,11,25,15,36
2022-12,80,63,12,27,14,37
2023-01,81,60,12,26,14,37
2023-02,83,64,12,23,12,41
2023-03,83,63,11,28,12,40
2023-04,83,62,14,25,17,41
2023-05,81,62,14,26,16,40
2023-06,84,64,11,26,14,41
2023-07,84,62,12,26,14,37
2023-08,84,67,10,28,16,40
2023-09,85,64,12,25,14,41
2023-10,85,64,15,27,15,41
2023-11,86,67,14,26,15,41
2023-12,83,64,14,26,16,40
2024-01,84,64,11,26,15,42
2024-02,86,65,11,26,17,40
2024-03,84,65,14,30,17,41
2024-04,85,68,10,28,19,41
2024-05,86,65,12,26,16,42
2024-06,85,64,11,27,16,42
2024-07,88,65,10,28,15,43
2024-08,89,69,14,27,17,41
2024-09,86,65,12,31,17,43
2024-10,89,68,15,31,15,43
2024-11,89,67,12,27,17,42
2024-12,90,70,11,31,19,42
2025-01,88,70,14,27,17,42
2025-02,89,68,14,31,17,42
2025-03,90,68,11,28,15,41
2025-04,91,68,14,27,16,41
2025-05,90,72,11,31,17,44
2025-06,93,72,12,30,15,41
2025-07,93,72,16,31,15,46
2025-08,93,70,11,27,16,44
2025-09,95,73,12,31,19,43
2025-10,93,70,16,28,17,43
2025-11,95,73,12,32,17,42
2025-12,94,70,12,28,17,46
2026-01,95,72,15,30,19,47
2026-02,96,75,12,32,16,47
2026-03,96,73,12,32,17,43
2026-04,96,72,11,30,19,44
2026-05,99,72,14,28,19,46
2026-06,99,77,16,31,17,47
2026-07,98,73,14,31,20,44
2026-08,99,77,16,32,19,44
2026-09,100,73,15,30,16,47
