Categoría: Todas las categorías — DATOS SINTÉTICOS DE EJEMPLO (no son de Google Trends)

Mes,Python: (Todo el mundo),JavaScript: (Todo el mundo),R: (Todo el mundo),C++: (Todo el mundo),PHP: (Todo el mundo),Java: (Todo el mundo)
2009-03,34,48,15,28,47,60
2009-04,35,48,13,27,48,61
2009-05,35,51,13,26,46,61
2009-06,37,51,15,29,45,61
2009-07,36,49,14,28,48,63
2009-08,36,52,13,26,46,62
2009-09,35,52,16,27,46,62
2009-10,37,52,15,28,47,62
2009-11,39,52,13,27,44,60
2009-12,39,49,15,28,45,60
2010-01,37,52,13,29,46,60
2010-02,37,53,16,26,46,61
2010-03,39,52,14,29,47,59
2010-04,40,51,13,27,43,61
2010-05,41,49,15,27,43,58
2010-06,38,53,13,26,44,57
2010-07,40,52,16,26,43,59
2010-08,39,52,14,28,45,60
2010-09,42,52,15,28,45,59
2010-10,40,51,13,28,42,59
2010-11,41,54,16,29,42,58
2010-12,41,51,15,26,43,56
2011-01,41,52,14,26,44,58
2011-02,42,53,15,26,41,57
2011-03,42,54,17,27,45,57
2011-04,44,52,16,29,42,56
2011-05,43,53,15,25,42,57
2011-06,43,54,16,27,44,58
2011-07,43,53,16,27,43,56
2011-08,44,53,17,28,43,57
2011-09,45,53,15,25,42,58
2011-10,44,51,17,26,41,54
2011-11,44,54,15,26,42,54
2011-12,45,54,17,26,42,56
2012-01,44,52,17,25,39,57
2012-02,45,52,16,27,40,56
2012-03,46,54,15,27,40,55
2012-04,45,54,17,25,39,57
2012-05,47,54,14,28,41,54
2012-06,46,54,17,25,41,53
2012-07,49,53,18,27,40,53
2012-08,47,51,15,27,39,55
2012-09,46,54,17,25,38,54
2012-10,48,51,15,24,40,55
2012-11,47,51,17,27,41,54
2012-12,48,54,15,26,38,53
2013-01,48,52,15,25,40,53
2013-02,49,52,17,25,39,55
2013-03,52,51,18,27,38,52
2013-04,51,55,16,27,40,51
2013-05,52,51,15,26,37,52
2013-06,48,53,18,27,36,51
2013-07,53,51,16,24,36,49
2013-08,52,54,17,27,38,51
2013-09,52,55,17,24,36,53
2013-10,52,52,17,25,38,49
2013-11,52,53,16,27,37,52
2013-12,54,54,18,26,36,53
2014-01,52,55,18,26,35,48
2014-02,55,53,17,27,35,51
2014-03,53,51,17,26,38,48
2014-04,54,51,18,23,35,49
2014-05,55,52,16,26,38,52
2014-06,54,53,16,25,35,48
2014-07,56,55,18,23,37,49
2014-08,57,54,19,25,36,51
2014-09,57,52,16,24,36,47
2014-10,55,53,16,26,36,48
2014-11,55,52,17,25,35,48
2014-12,55,54,17,24,33,51
2015-01,56,54,19,26,36,51
2015-02,58,54,16,24,35,51
2015-03,58,53,19,24,36,48
2015-04,57,52,20,24,33,46
2015-05,58,53,19,23,34,48
2015-06,56,51,18,23,33,46
2015-07,59,53,16,22,35,47
2015-08,57,54,16,24,35,47
2015-09,58,54,18,25,35,46
2015-10,60,52,20,25,34,47
2015-11,61,51,17,25,34,46
2015-12,60,52,20,25,34,44
2016-01,61,52,17,23,34,44
2016-02,59,51,20,25,35,46
2016-03,61,52,18,24,34,47
2016-04,61,52,18,23,33,45
2016-05,61,54,17,24,34,46
2016-06,62,51,18,25,34,45
2016-07,63,53,20,23,32,46
2016-08,62,53,18,23,32,43
2016-09,62,51,17,22,31,46
2016-10,63,51,21,22,32,45
2016-11,64,51,20,23,32,44
2016-12,65,52,17,22,33,43
2017-01,62,49,19,25,31,44
2017-02,65,49,19,25,31,43
2017-03,63,53,21,22,31,43
2017-04,65,49,18,22,29,44
2017-05,66,52,20,21,29,43
2017-06,64,51,21,21,32,41
2017-07,65,52,18,23,29,44
2017-08,68,49,19,24,29,41
2017-09,67,49,19,21,32,43
2017-10,68,52,18,23,28,43
2017-11,68,48,18,24,28,40
2017-12,65,51,20,24,28,42
2018-01,66,49,19,23,27,40
2018-02,67,49,19,23,27,43
2018-03,68,49,18,22,28,41
2018-04,69,52,19,22,27,39
2018-05,67,48,18,23,28,41
2018-06,69,48,18,23,29,40
2018-07,67,47,19,23,25,39
2018-08,71,51,19,23,27,38
2018-09,69,47,19,23,27,38
2018-10,68,49,18,21,26,38
2018-11,68,47,19,24,27,38
2018-12,72,47,20,21,28,39
2019-01,73,49,21,22,27,39
2019-02,73,48,20,22,26,38
2019-03,74,48,20,20,26,37
2019-04,71,47,20,21,25,39
2019-05,73,47,19,21,26,38
2019-06,73,49,21,22,23,37
2019-07,74,46,22,20,27,37
2019-08,75,49,20,23,23,39
2019-09,73,47,19,22,24,38
2019-10,75,47,18,23,26,38
2019-11,74,47,22,21,25,38
2019-12,74,48,20,22,22,37
2020-01,73,47,19,20,22,35
2020-02,75,46,20,23,25,37
2020-03,77,48,20,23,23,37
2020-04,75,45,22,23,23,38
2020-05,76,47,23,22,22,36
2020-06,76,45,22,21,24,36
2020-07,77,44,22,23,22,36
2020-08,77,45,22,23,21,37
2020-09,77,47,20,22,21,35
2020-10,80,46,22,21,22,35
2020-11,79,46,20,21,23,35
2020-12,80,47,20,20,21,33
2021-01,77,44,22,21,23,34
2021-02,77,47,23,23,20,34
2021-03,80,46,23,21,21,32
2021-04,81,47,23,21,21,33
2021-05,81,46,23,19,22,34
2021-06,80,46,23,21,22,34
2021-07,81,44,20,22,19,34
2021-08,80,44,22,20,23,32
2021-09,79,46,21,20,20,34
2021-10,83,45,21,20,20,33
2021-11,81,42,21,20,19,34
2021-12,81,42,22,22,21,33
2022-01,83,43,20,19,19,32
2022-02,82,42,20,19,19,33
2022-03,83,42,22,22,20,32
2022-04,82,42,22,18,21,29
2022-05,84,42,23,20,18,32
2022-06,82,42,22,19,20,33
2022-07,83,44,21,21,18,31
2022-08,82,44,21,20,18,32
2022-09,85,43,23,19,17,32
2022-10,84,43,24,20,17,32
2022-11,85,41,21,20,17,32
2022-12,86,43,22,21,17,31
2023-01,85,40,21,18,19,29
2023-02,86,42,22,20,19,32
2023-03,86,43,24,21,17,28
2023-04,85,43,21,20,17,27
2023-05,86,42,23,21,19,27
2023-06,88,39,22,19,19,29
2023-07,86,41,23,18,16,31
2023-08,89,42,21,21,17,29
2023-09,87,39,24,18,15,28
2023-10,91,42,22,21,18,29
2023-11,89,40,25,19,18,28
2023-12,91,40,23,19,15,26
2024-01,89,41,22,20,17,28
2024-02,89,42,24,19,14,27
2024-03,88,41,22,18,16,27
2024-04,91,40,24,20,15,26
2024-05,92,38,22,18,14,28
2024-06,89,38,23,19,16,28
2024-07,93,40,21,17,16,27
2024-08,91,41,24,19,15,24
2024-09,91,41,22,17,14,26
2024-10,92,38,23,18,15,25
2024-11,94,41,25,17,14,27
2024-12,95,37,23,18,15,23
2025-01,93,39,25,17,14,25
2025-02,95,38,26,17,12,23
2025-03,94,37,23,17,12,26
2025-04,94,40,25,17,15,22
2025-05,97,36,23,18,11,25
2025-06,93,39,22,18,12,23
2025-07,95,37,23,19,12,22
2025-08,96,37,26,18,13,22
2025-09,94,36,25,19,14,23
2025-10,97,37,22,18,13,24
2025-11,98,39,24,18,12,23
2025-12,97,37,26,18,12,24
2026-01,98,37,24,19,12,22
2026-02,97,37,22,18,13,21
2026-03,97,38,26,18,12,22
2026-04,98,37,24,19,9,23
2026-05,99,36,22,17,12,23
2026-06,100,35,23,16,13,22
2026-07,97,37,26,18,9,23
2026-08,100,35,26,17,11,21
2026-09,99,36,25,17,12,19
