"Time","Python","JavaScript","Java","PHP","C++","R"
"2010-01-01",4,14,40,16,7,5
"2010-02-01",4,16,43,19,7,5
"2010-03-01",4,15,42,20,7,5
"2010-04-01",4,15,44,17,7,5
"2010-05-01",4,14,44,17,7,4
"2010-06-01",4,14,40,17,6,5
"2010-07-01",4,12,36,16,5,5
"2010-08-01",3,11,35,14,5,5
"2010-09-01",4,12,37,16,5,5
"2010-10-01",4,13,42,16,7,5
"2010-11-01",4,13,40,16,8,5
"2010-12-01",4,11,37,15,6,5
"2011-01-01",4,12,35,15,6,6
"2011-02-01",4,13,37,17,5,6
"2011-03-01",4,13,38,17,6,5
"2011-04-01",4,12,37,16,5,6
"2011-05-01",4,13,37,16,6,6
"2011-06-01",4,13,37,15,5,6
"2011-07-01",4,12,34,16,4,6
"2011-08-01",4,10,31,14,4,6
"2011-09-01",4,12,36,15,4,6
"2011-10-01",4,13,40,15,6,6
"2011-11-01",4,13,41,18,6,6
"2011-12-01",4,11,36,14,5,6
"2012-01-01",4,12,40,14,5,6
"2012-02-01",4,14,40,17,5,6
"2012-03-01",5,13,42,17,5,6
"2012-04-01",5,12,39,15,5,7
"2012-05-01",5,14,41,16,5,7
"2012-06-01",4,13,38,15,5,7
"2012-07-01",4,12,33,14,4,7
"2012-08-01",4,11,32,13,4,7
"2012-09-01",4,12,37,14,4,7
"2012-10-01",5,14,40,15,5,7
"2012-11-01",5,13,42,16,5,7
"2012-12-01",4,12,34,13,4,7
"2013-01-01",5,13,41,15,5,8
"2013-02-01",5,14,42,15,5,8
"2013-03-01",5,13,41,14,5,7
"2013-04-01",6,14,47,14,5,7
"2013-05-01",5,14,41,15,4,7
"2013-06-01",5,13,37,14,4,6
"2013-07-01",5,14,36,14,4,6
"2013-08-01",4,10,28,12,3,6
"2013-09-01",5,12,33,13,4,7
"2013-10-01",6,15,48,15,5,7
"2013-11-01",6,15,41,15,5,7
"2013-12-01",5,14,34,13,4,7
"2014-01-01",5,13,52,14,4,7
"2014-02-01",6,15,44,16,5,7
"2014-03-01",5,16,41,15,5,7
"2014-04-01",5,16,46,15,4,6
"2014-05-01",6,15,40,15,4,7
"2014-06-01",5,14,34,14,4,7
"2014-07-01",6,14,35,13,3,7
"2014-08-01",5,11,29,12,3,6
"2014-09-01",6,14,35,12,4,7
"2014-10-01",7,16,42,14,5,7
"2014-11-01",7,16,42,14,5,7
"2014-12-01",6,13,35,12,4,7
"2015-01-01",6,14,36,12,4,7
"2015-02-01",6,16,39,14,4,7
"2015-03-01",7,16,36,14,5,7
"2015-04-01",6,15,42,13,4,7
"2015-05-01",7,16,39,13,4,6
"2015-06-01",6,15,32,12,4,6
"2015-07-01",6,14,30,11,3,6
"2015-08-01",5,11,24,10,3,6
"2015-09-01",6,13,29,11,4,6
"2015-10-01",8,15,35,12,5,6
"2015-11-01",8,15,34,12,5,6
"2015-12-01",7,13,29,11,4,5
"2016-01-01",7,13,26,11,4,5
"2016-02-01",9,16,28,13,4,6
"2016-03-01",9,15,26,12,4,6
"2016-04-01",9,15,29,13,4,6
"2016-05-01",9,16,27,12,4,5
"2016-06-01",9,15,24,12,4,5
"2016-07-01",7,12,18,10,3,5
"2016-08-01",7,12,17,9,3,5
"2016-09-01",9,14,23,11,4,5
"2016-10-01",10,15,26,12,4,5
"2016-11-01",11,18,29,17,5,5
"2016-12-01",10,14,23,14,4,4
"2017-01-01",11,16,25,15,4,4
"2017-02-01",12,18,29,16,4,4
"2017-03-01",13,18,29,18,5,4
"2017-04-01",11,15,25,15,4,4
"2017-05-01",12,17,25,16,4,4
"2017-06-01",11,16,22,14,4,4
"2017-07-01",10,13,19,12,3,3
"2017-08-01",8,12,16,11,3,3
"2017-09-01",10,14,22,13,4,3
"2017-10-01",11,15,24,14,5,3
"2017-11-01",13,18,26,14,5,4
"2017-12-01",11,13,19,11,4,4
"2018-01-01",11,15,22,12,4,4
"2018-02-01",13,16,21,13,4,4
"2018-03-01",12,16,20,12,4,4
"2018-04-01",12,15,21,12,4,4
"2018-05-01",13,16,21,13,4,4
"2018-06-01",11,14,19,11,3,4
"2018-07-01",11,13,16,10,3,3
"2018-08-01",9,11,13,8,2,2
"2018-09-01",10,13,17,9,3,3
"2018-10-01",14,16,21,12,4,3
"2018-11-01",13,15,19,11,4,3
"2018-12-01",11,12,14,9,3,3
"2019-01-01",12,13,15,10,3,3
"2019-02-01",14,15,17,11,4,4
"2019-03-01",14,14,16,10,3,4
"2019-04-01",13,14,15,10,3,3
"2019-05-01",14,14,16,12,3,3
"2019-06-01",14,13,14,9,3,3
"2019-07-01",13,13,14,9,2,3
"2019-08-01",10,11,12,7,2,2
"2019-09-01",13,13,16,9,3,3
"2019-10-01",16,16,21,11,4,3
"2019-11-01",16,14,19,10,4,3
"2019-12-01",13,11,14,8,3,3
"2020-01-01",14,12,16,8,3,3
"2020-02-01",16,14,19,9,3,3
"2020-03-01",17,13,18,8,3,4
"2020-04-01",17,14,17,8,4,4
"2020-05-01",17,13,16,9,4,5
"2020-06-01",15,12,15,8,3,3
"2020-07-01",14,12,14,8,3,3
"2020-08-01",12,10,11,6,2,2
"2020-09-01",14,12,14,8,3,3
"2020-10-01",14,11,16,8,4,3
"2020-11-01",13,11,16,8,3,3
"2020-12-01",12,9,12,6,3,3
"2021-01-01",11,9,12,6,3,3
"2021-02-01",13,11,14,7,3,3
"2021-03-01",14,11,14,7,3,3
"2021-04-01",13,10,13,6,3,3
"2021-05-01",14,11,14,7,3,3
"2021-06-01",13,10,12,5,3,3
"2021-07-01",11,9,10,5,2,2
"2021-08-01",9,7,8,4,2,2
"2021-09-01",13,11,13,6,3,2
"2021-10-01",15,12,17,8,4,3
"2021-11-01",18,13,18,8,4,4
"2021-12-01",17,12,15,7,4,3
"2022-01-01",21,15,19,9,4,4
"2022-02-01",25,18,21,10,4,4
"2022-03-01",26,19,20,10,5,5
"2022-04-01",25,18,20,9,4,4
"2022-05-01",26,19,20,10,4,5
"2022-06-01",22,17,16,8,3,3
"2022-07-01",20,15,14,7,3,3
"2022-08-01",17,14,12,6,2,2
"2022-09-01",22,17,17,8,4,3
"2022-10-01",27,18,21,10,6,4
"2022-11-01",29,20,23,10,5,5
"2022-12-01",24,15,16,8,4,4
"2023-01-01",23,17,18,8,4,3
"2023-02-01",27,18,20,10,4,4
"2023-03-01",25,17,19,9,4,4
"2023-04-01",22,15,16,8,3,3
"2023-05-01",22,14,16,8,3,4
"2023-06-01",19,14,13,7,3,3
"2023-07-01",17,12,11,6,2,3
"2023-08-01",15,10,10,5,2,2
"2023-09-01",20,12,14,7,3,3
"2023-10-01",23,14,18,8,4,4
"2023-11-01",24,14,17,8,4,4
"2023-12-01",18,12,12,6,3,3
"2024-01-01",20,13,15,7,3,3
"2024-02-01",26,15,18,9,3,4
"2024-03-01",22,14,15,7,3,4
"2024-04-01",24,14,17,7,3,3
"2024-05-01",23,14,16,7,3,4
"2024-06-01",18,12,14,6,3,3
"2024-07-01",17,10,12,5,2,2
"2024-08-01",14,9,9,4,2,2
"2024-09-01",19,11,13,6,3,3
"2024-10-01",23,13,17,7,4,3
"2024-11-01",21,11,15,7,3,3
"2024-12-01",17,10,11,5,3,2
"2025-01-01",19,11,12,5,3,2
"2025-02-01",21,12,14,6,3,3
"2025-03-01",20,11,13,5,3,3
"2025-04-01",16,9,12,4,3,2
"2025-05-01",16,8,11,4,2,2
"2025-06-01",15,9,10,4,2,2
"2025-07-01",14,7,9,4,2,2
"2025-08-01",11,6,8,3,2,1
"2025-09-01",15,7,10,4,3,2
"2025-10-01",17,8,12,4,3,2
"2025-11-01",20,9,12,5,3,2
"2025-12-01",16,8,11,4,3,2
"2026-01-01",18,9,12,4,3,2
"2026-02-01",25,12,13,5,4,3
"2026-03-01",20,12,11,5,4,3
"2026-04-01",20,9,10,4,3,2
"2026-05-01",16,8,9,4,3,2
"2026-06-01",16,8,9,4,2,2
"2026-07-01",19,13,10,4,3,1
"2026-08-01",8,4,5,2,1,1
"2026-09-01",13,8,8,2,2,1
